viewCount,likeCount,subscribers,totalViews,totalVideos,durationSecs,title length,Label
60270,1054,1710000,347648425,2320,555,42,1
32087,522,1710000,347648425,2320,528,42,1
37660,637,1710000,347648425,2320,696,33,1
21111,369,1710000,347648425,2320,472,33,1
17413,303,1710000,347648425,2320,310,33,1
19605,381,1710000,347648425,2320,302,38,1
31819,468,1710000,347648425,2320,482,27,1
14842,204,1710000,347648425,2320,195,27,1
13256,209,1710000,347648425,2320,258,27,1
12014,176,1710000,347648425,2320,172,27,1
13158,224,1710000,347648425,2320,520,27,1
44378,767,1710000,347648425,2320,447,39,1
27194,453,1710000,347648425,2320,508,39,1
22375,377,1710000,347648425,2320,377,39,1
25418,425,1710000,347648425,2320,310,43,1
12227,187,1710000,347648425,2320,326,43,1
54270,1239,1710000,347648425,2320,659,27,1
15285,299,1710000,347648425,2320,175,27,1
30093,643,1710000,347648425,2320,353,21,1
16832,319,1710000,347648425,2320,350,23,1
15031,324,1710000,347648425,2320,523,23,1
60628,912,1710000,347648425,2320,351,44,1
27375,436,1710000,347648425,2320,357,44,1
54333,729,1710000,347648425,2320,367,24,1
28678,458,1710000,347648425,2320,340,29,1
37375,687,1710000,347648425,2320,378,20,1
18120,323,1710000,347648425,2320,439,35,1
53124,1001,1710000,347648425,2320,571,43,1
16974,365,1710000,347648425,2320,470,28,1
14551,271,1710000,347648425,2320,406,32,1
10054,186,1710000,347648425,2320,247,49,1
29085,530,1710000,347648425,2320,306,37,1
35964,692,1710000,347648425,2320,381,24,1
29029,598,1710000,347648425,2320,634,21,1
33223,588,1710000,347648425,2320,414,17,1
20216,325,1710000,347648425,2320,605,32,1
12152,181,1710000,347648425,2320,434,41,1
8639,134,1710000,347648425,2320,296,41,1
9872,156,1710000,347648425,2320,634,32,1
8329,137,1710000,347648425,2320,543,32,1
7919,125,1710000,347648425,2320,400,32,1
12269,158,1710000,347648425,2320,480,32,1
11206,87,1710000,347648425,2320,51,75,1
9062,71,1710000,347648425,2320,25,78,1
475818,7575,1710000,347648425,2320,663,43,1
138676,2502,1710000,347648425,2320,766,20,1
80175,1486,1710000,347648425,2320,651,14,1
86551,1435,1710000,347648425,2320,950,34,1
34794,533,1710000,347648425,2320,501,32,1
49122,772,1710000,347648425,2320,385,32,1
84721,1687,1710000,347648425,2320,409,45,1
45049,721,1710000,347648425,2320,743,43,1
43075,659,1710000,347648425,2320,448,27,1
57477,783,1710000,347648425,2320,481,17,1
205298,3633,1710000,347648425,2320,529,43,1
101566,1497,1710000,347648425,2320,680,23,1
124059,2230,1710000,347648425,2320,906,38,1
59679,808,1710000,347648425,2320,881,45,1
22410,299,1710000,347648425,2320,714,45,1
85187,1553,1710000,347648425,2320,413,37,1
29392,508,1710000,347648425,2320,460,28,1
48957,853,1710000,347648425,2320,768,28,1
23265,426,1710000,347648425,2320,596,52,1
19846,324,1710000,347648425,2320,749,44,1
15178,238,1710000,347648425,2320,511,44,1
102060,1969,1710000,347648425,2320,925,37,1
38310,656,1710000,347648425,2320,709,42,1
64519,1144,1710000,347648425,2320,1144,38,1
30984,446,1710000,347648425,2320,1318,40,1
31429,427,1710000,347648425,2320,1299,35,1
15881,195,1710000,347648425,2320,696,35,1
16700,455,393000,20878842,237,217,61,1
5269,144,393000,20878842,237,261,42,1
5041,87,393000,20878842,237,193,42,1
6964,112,393000,20878842,237,366,53,1
5038,82,393000,20878842,237,266,46,1
4442,213,393000,20878842,237,529,37,1
3370,70,393000,20878842,237,342,35,1
2731,53,393000,20878842,237,275,41,1
9301,157,393000,20878842,237,268,36,1
6157,116,393000,20878842,237,322,42,1
2597,56,393000,20878842,237,307,34,1
2666,67,393000,20878842,237,263,34,1
2807,90,393000,20878842,237,348,40,1
3088,75,393000,20878842,237,360,38,1
2632,44,393000,20878842,237,152,47,1
14127,543,393000,20878842,237,822,47,1
16467,278,393000,20878842,237,380,55,1
4984,78,393000,20878842,237,302,68,1
10551,138,393000,20878842,237,249,55,1
3270,42,393000,20878842,237,229,68,1
2809,40,393000,20878842,237,440,41,1
2799,54,393000,20878842,237,478,43,1
3439,53,393000,20878842,237,369,50,1
3955,98,393000,20878842,237,325,43,1
9312,123,393000,20878842,237,271,45,1
15692,378,393000,20878842,237,455,56,1
8015846,179491,1850000,74531687,104,1478,63,1
2180376,46467,1850000,74531687,104,1185,60,1
2022109,34009,1850000,74531687,104,895,51,1
1074422,19051,1850000,74531687,104,595,52,1
1431987,23948,1850000,74531687,104,622,56,1
685979,9554,1850000,74531687,104,799,66,1
420865,6280,1850000,74531687,104,514,86,1
424612,6033,1850000,74531687,104,418,54,1
1259549,24269,1850000,74531687,104,696,61,1
479348,9772,1850000,74531687,104,555,62,1
266695,4307,1850000,74531687,104,494,45,1
222341,4600,1850000,74531687,104,441,59,1
181285,3200,1850000,74531687,104,493,47,1
703466,14730,1850000,74531687,104,1216,79,1
444563,8921,1850000,74531687,104,2148,60,1
148605,4205,1850000,74531687,104,496,62,1
25948,499,101000,4735276,66,1197,99,0
41269,1103,101000,4735276,66,1378,78,1
